DATE,COUNTY,TEST_POS,TEST_NEG,DEATHS_TOT
4/2/20,Bledsoe,2,15,0
4/2/20,Blount,32,148,0
4/2/20,Bradley,18,171,0
4/2/20,Campbell,4,66,0
4/2/20,Cannon,4,59,0
4/2/20,Carroll,5,91,0
4/2/20,Carter,1,68,0
4/2/20,Cheatham,11,196,0
4/2/20,Chester,3,49,0
4/2/20,Claiborne,2,39,0
4/2/20,Clay,1,28,0
4/2/20,Cocke,1,53,0
4/2/20,Coffee,3,135,0
4/2/20,Crockett,0,29,0
4/2/20,Cumberland,16,296,0
4/2/20,Davidson,617,4813,6
4/2/20,Decatur,0,38,0
4/2/20,DeKalb,5,75,0
4/2/20,Dickson,20,147,0
4/2/20,Dyer,5,82,0
4/2/20,Fayette,14,148,0
4/2/20,Fentress,1,52,0
4/2/20,Franklin,8,97,0
4/2/20,Gibson,6,143,0
4/2/20,Giles,3,76,0
4/2/20,Grainger,3,41,0
4/2/20,Greene,16,87,1
4/2/20,Grundy,8,35,0
4/2/20,Hamblen,3,90,0
4/2/20,Hamilton,61,671,3
4/2/20,Hancock,0,6,0
4/2/20,Hardeman,4,55,0
4/2/20,Hardin,2,115,0
4/2/20,Hawkins,7,71,0
4/2/20,Haywood,2,41,0
4/2/20,Henderson,0,86,0
4/2/20,Henry,4,79,0
4/2/20,Hickman,1,67,0
4/2/20,Houston,1,77,0
4/2/20,Humphreys,2,39,0
4/2/20,Jackson,2,29,0
4/2/20,Jefferson,6,87,0
4/2/20,Johnson,2,7,0
4/2/20,Knox,92,885,1
4/2/20,Lake,0,16,0
4/2/20,Lauderdale,2,43,0
4/2/20,Lawrence,2,129,0
4/2/20,Lewis,2,18,0
4/2/20,Lincoln,2,54,0
4/2/20,Loudon,9,119,0
4/2/20,Macon,5,96,0
4/2/20,Madison,13,212,0
4/2/20,Marion,13,48,1
4/2/20,Marshall,2,119,0
4/2/20,Maury,18,409,0
4/2/20,McMinn,3,151,0
4/2/20,McNairy,3,60,0
4/2/20,Meigs,2,43,0
4/2/20,Monroe,5,99,0
4/2/20,Montgomery,37,541,0
4/2/20,Moore,0,15,0
4/2/20,Morgan,1,29,0
4/2/20,Non-Tennessee Resident,212,4972,1
4/2/20,Obion,2,72,1
4/2/20,Overton,2,82,0
4/2/20,Pending,103,4955,0
4/2/20,Perry,2,26,0
4/2/20,Pickett,0,12,0
4/2/20,Polk,1,19,0
4/2/20,Putnam,37,331,0
4/2/20,Rhea,0,77,0
4/2/20,Roane,3,128,0
4/2/20,Robertson,41,347,0
4/2/20,Rutherford,113,1120,1
4/2/20,Scott,3,55,0
4/2/20,Sequatchie,2,23,0
4/2/20,Sevier,10,234,0
4/2/20,Shelby,570,2829,5
4/2/20,Smith,3,91,0
4/2/20,Stewart,0,47,0
4/2/20,Sullivan,17,183,1
4/2/20,Sumner,268,913,7
4/2/20,Tipton,24,196,0
4/2/20,Trousdale,6,33,1
4/2/20,Unicoi,1,30,0
4/2/20,Union,1,26,0
4/2/20,Van Buren,0,20,0
4/2/20,Warren,1,93,0
4/2/20,Washington,20,293,0
4/2/20,Wayne,2,31,0
4/2/20,Weakley,1,68,0
4/2/20,White,2,77,0
4/2/20,Williamson,199,1434,3
4/2/20,Wilson,62,756,0
4/3/20,Anderson,10,180,0
4/3/20,Bedford,6,119,0
4/3/20,Benton,4,38,0
4/3/20,Bledsoe,2,22,0
4/3/20,Blount,33,169,0
4/3/20,Bradley,21,191,0
4/3/20,Campbell,4,73,0
4/3/20,Cannon,4,64,0
4/3/20,Carroll,6,105,0
4/3/20,Carter,3,69,0
4/3/20,Cheatham,11,217,0
4/3/20,Chester,5,53,0
4/3/20,Claiborne,2,45,0
4/3/20,Clay,1,47,0
4/3/20,Cocke,1,57,0
4/3/20,Coffee,3,167,0
4/3/20,Crockett,0,32,0
4/3/20,Cumberland,22,347,0
4/3/20,Davidson,685,5113,6
4/3/20,Decatur,0,39,0
4/3/20,DeKalb,5,85,0
4/3/20,Dickson,21,158,0
4/3/20,Dyer,5,90,0
4/3/20,Fayette,17,155,0
4/3/20,Fentress,1,54,0
4/3/20,Franklin,12,106,1
4/3/20,Gibson,7,150,0
4/3/20,Giles,3,80,0
4/3/20,Grainger,3,44,0
4/3/20,Greene,16,89,1
4/3/20,Grundy,11,37,0
4/3/20,Hamblen,3,95,0
4/3/20,Hamilton,67,718,3
4/3/20,Hancock,0,7,0
4/3/20,Hardeman,5,58,0
4/3/20,Hardin,2,120,0
4/3/20,Hawkins,8,72,1
4/3/20,Haywood,2,45,0
4/3/20,Henderson,0,90,0
4/3/20,Henry,4,89,0
4/3/20,Hickman,1,73,0
4/3/20,Houston,1,83,0
4/3/20,Humphreys,3,47,0
4/3/20,Jackson,3,42,0
4/3/20,Jefferson,6,99,0
4/3/20,Johnson,2,10,0
4/3/20,Knox,98,966,1
4/3/20,Lake,0,16,0
4/3/20,Lauderdale,2,45,0
4/3/20,Lawrence,3,140,0
4/3/20,Lewis,2,21,0
4/3/20,Lincoln,4,55,0
4/3/20,Loudon,12,134,0
4/3/20,Macon,7,145,0
4/3/20,Madison,17,227,0
4/3/20,Marion,14,51,1
4/3/20,Marshall,4,126,0
4/3/20,Maury,20,442,0
4/3/20,McMinn,3,176,0
4/3/20,McNairy,3,67,0
4/3/20,Meigs,2,45,0
4/3/20,Monroe,5,107,0
4/3/20,Montgomery,41,584,0
4/3/20,Moore,0,16,0
4/3/20,Morgan,2,35,0
4/3/20,Non-Tennessee Resident,187,5458,1
4/3/20,Obion,2,75,1
4/3/20,Overton,2,101,0
4/3/20,Pending,54,5782,0
4/3/20,Perry,2,26,0
4/3/20,Pickett,0,13,0
4/3/20,Polk,2,21,0
4/3/20,Putnam,50,349,0
4/3/20,Rhea,0,100,0
4/3/20,Roane,3,147,0
4/3/20,Robertson,51,356,0
4/3/20,Rutherford,127,1177,3
4/3/20,Scott,3,60,0
4/3/20,Sequatchie,2,27,0
